,category,Blood,Credit-G,Diabetes,QSAR-Fish,Airfoil,Concrete,Insurance,Anneal,Maternal,ELO
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,log_loss,log_loss,
task_id,,363621,363626,363629,363698,363612,363625,363675,363614,363685,
CAT,ML,0.7107894736842105,0.7927350427350429,0.8335341365461848,0.9169135943553836,1.4743257730979937,4.479989948836688,4089.2521585967734,0.04721400587739318,0.4266560518199411,1276.2
EBM,ML,0.7082456140350877,0.7912820512820513,0.8425702811244979,0.9456287726391835,1.9173663355495552,4.428036811524854,4180.362861666773,0.07275742673584468,0.49959478868894475,1152.2
KNN,ML,0.6749999999999999,0.767948717948718,0.8175368139223562,0.9470259228582849,3.2473637575363417,8.986232450905673,5097.162999758122,0.18054473476045046,0.8570291857311769,736.8
LR,ML,0.7310526315789474,0.7663675213675214,0.822289156626506,0.9779810035849538,5.424097983642563,8.079074721109023,5575.862768468926,0.10165076885028021,0.7708599588207895,864.6
REALMLP_GPU,DL,0.7450000000000001,0.7896153846153846,0.8500669344042837,0.902031865224557,1.1261888658361736,5.013467964220634,4169.775918222015,0.03160915622542364,0.5935180898948357,1349.5
REALTABPFN-V2.5,Foundation,0.7444298245614036,0.7849145299145298,0.8486947791164658,0.9021697485200404,0.9770421145051592,3.816273829391835,4075.862737431688,0.01724696349112164,0.418697125047572,1594.1
MITRA_GPU,,0.7220175438596491,0.7785470085470085,0.8392235609103079,0.9012402148282606,1.0591131919058265,4.329742394231109,4032.357647014834,0.02933883162895879,0.37773906038340466,1440.7
TABICLV2,,0.7451754385964913,0.7885897435897437,0.8451807228915663,0.894265712135384,1.015387772184129,3.6729471916148135,4042.4652260759326,0.033034431782149175,0.3542280741307795,1663.0
TABICL_GPU,,0.7026315789473685,0.7814102564102565,0.838219544846051,0.938418407690184,1.7727015604892042,5.50373270046845,4520.752203125408,0.042555178904666896,0.3636477547868081,1143.0
FTTransformer,DL,0.7264912280701754,0.7690598290598291,0.828380187416332,1.2398653728130447,6.214391184581335,12.285288531686305,5202.08276842444,0.04965282135798628,0.641125529410087,923.5
LLMAdapter260421-3,LLM,0.7333333333333333,0.7892307692307694,0.8366131191432395,0.9608780512383875,1.1434596384500795,5.281522973414699,4085.360116429925,0.11682174275976431,0.5762524039707448,1176.7
LLMAdapter260423-bidir,LLM,0.7439473684210527,0.7861111111111111,0.843908969210174,0.9903969756703856,1.568359753399226,4.981101921838656,4092.852966195559,0.14564955109676342,,1211.1
LLMAdapter260429-LA-Bidir,LLM,0.7218421052631578,0.7756837606837608,0.8396921017402945,0.9515677481991512,1.1601502100043342,4.650674830784036,,,,1136.8
LLMBaseline,LLM,0.7060526315789474,0.7216239316239317,0.6860107095046855,1.6545004849408724,,16.808829044894885,17800.341386653545,0.05973993730393637,1.3630054951387849,718.2
LLMBaseline260429-LB-Bidir,LLM,0.7063157894736842,,,1.0360012755076657,2.4641715571337057,,,,,980.0
LLMBaselineBidirectional260426-BaselineBidir,LLM,0.6975438596491228,0.7567948717948718,0.7977911646586346,1.014977324860838,1.5983589478942004,4.798822721989176,4543.928949362836,,,940.2
LLMSlot260424-next_token_pred,LLM,0.7196491228070175,0.7777777777777778,0.8305890227576975,0.9497885097258855,1.1229090443061462,4.504521063999555,4097.925095529851,0.15152618956564654,,1138.7
