,category,Blood,Credit-G,Diabetes,QSAR-Fish,Airfoil,Concrete,Insurance,Anneal,ELO
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,log_loss,
task_id,,363621,363626,363629,363698,363612,363625,363675,363614,
CAT,ML,0.7078070175438597,0.7913675213675214,0.8392235609103079,0.9108357993477078,1.194328921266466,4.349307405056239,4099.415070640934,0.028524514184980122,1391.4
EBM,ML,0.711140350877193,0.7850854700854701,0.8519410977242302,0.933905919615701,1.8230914958942663,4.378025654572182,4058.6072991706296,0.05042694881558418,1307.7
GBM,ML,0.7219298245614035,0.7797435897435897,0.8345381526104417,0.9151007788510053,1.3395871120326175,4.23183913566624,4101.070785897937,0.0444048792788039,1303.0
KNN,ML,0.7039473684210527,0.7679059829059829,0.8226907630522088,0.9347266281684382,2.226101772909643,6.060376754495909,4601.137288169586,0.07725414633750916,935.3
LR,ML,0.7539473684210526,0.7653418803418803,0.8263721552878179,0.9768729285149236,4.73505463317741,7.9030084866624035,5578.938995200396,0.05425482988357544,998.2
RF,ML,0.6664035087719298,0.7817521367521367,0.8258366800535475,0.9166780663072045,1.7501195481092064,5.355749505698358,4226.209636611783,0.023006393800036065,1154.8
XGB,ML,0.6993859649122807,0.7847008547008547,0.826706827309237,0.9145528249148004,1.3129289996153388,4.2893139362250805,4133.899611275165,0.03892136917445271,1258.6
XT,ML,0.6821052631578948,0.7655128205128205,0.8403614457831325,0.9078442096273903,1.6281719213990773,5.190510222950174,4132.754142034768,0.029002307380355308,1195.6
FASTAI,DL,0.7436842105263158,0.7693589743589744,0.843908969210174,0.9312487963568503,1.557922335141785,5.229370285200833,4214.627144308174,0.08526936687443813,1185.1
MNCA_GPU,DL,0.6753508771929825,0.7785042735042735,0.8069611780455154,0.9225872956639865,1.3085769117138073,5.175840034325168,4117.0854826350915,0.04072477790727136,1138.8
NN_TORCH,DL,0.7406140350877193,0.7794017094017094,0.8246987951807229,0.9211951262075508,1.251028764856233,4.454149088455697,4144.198944747313,0.05635070620970603,1240.5
REALMLP_GPU,DL,0.7298245614035088,0.7925213675213675,0.8459170013386881,0.9014784160630552,1.0118973418753692,4.141370860233445,4071.1783567245207,0.029990119859576225,1596.9
TABM_GPU,DL,0.7101754385964912,0.7882478632478632,0.8251673360107095,0.9109158278963556,0.9773049624642896,4.374334605859934,4101.560812702842,0.037722728510801044,1339.3
XRFM_GPU,DL,0.703859649122807,0.7666239316239316,0.8444444444444444,0.9115647745800096,1.1754813127660084,4.344043788976497,4217.97912318839,0.026894191280007362,1287.6
REALTABPFN-V2.5,Foundation,0.7303508771929824,0.7811538461538462,0.8431726907630522,0.8866661964472332,0.870428852383852,3.7665874877665413,4030.724697336574,0.010615817792250088,1662.7
TABDPT_GPU,Foundation,0.7275438596491228,0.7692307692307693,0.8433734939759037,0.8974494159544669,0.9489951055067419,4.040272334480419,4104.0711948039,0.03276921195620291,1448.0
TABPFNV2_GPU,Foundation,0.727280701754386,0.7866239316239316,0.84190093708166,0.8958826799112578,0.9148343706132448,3.9147441045180007,4147.532527898639,0.025444212742377244,1522.4
FTTransformer,DL,0.7159649122807018,0.7785897435897436,0.8275100401606426,1.0236326869317924,3.1313168599635257,6.2630538483766305,4328.37942255068,0.03631234268703688,1047.1
LLMAdapter260421-3,LLM,0.7209649122807018,0.7878205128205128,0.8362784471218206,0.9346826211436305,1.0600231138215885,4.735017939160332,,0.09531313875056079,1200.8
LLMAdapter260423-bidir,LLM,0.7242105263157895,0.787094017094017,0.8398259705488621,0.9387903191713035,1.1047224820921362,4.699267289127694,4085.129584288068,0.14564955409690988,1274.6
LLMBaseline,LLM,0.7093859649122807,0.7855128205128206,0.7898259705488622,1.0715240938086552,,8.513369474178416,5838.997467247002,0.05257918951931996,969.2
LLMBaselineBidirectional260426-BaselineBidir,LLM,0.6760526315789473,,0.7977911646586345,0.9998607825694007,1.647834833798068,4.94363565261859,,,982.5
LLMSlot260424-next_token_pred,LLM,0.7201754385964912,0.7744444444444445,0.8319946452476573,0.941669041955747,1.045866018896957,4.624815507694357,4036.6501255204616,,1251.1
